s,V,pi,pi_grafico
1.0,-2.4388025922287637,0.0,
2.0,-2.3980043251510352,2.0,
3.0,-2.384205640238272,2.0,
4.0,-2.420387541339486,2.0,
5.0,-2.451539029145674,2.0,
6.0,-2.4708885938853253,2.0,
7.0,-2.4825316594985853,2.0,
8.0,-2.4895189371398487,2.0,
9.0,-2.493711360133311,2.0,
10.0,-2.4962268160045147,2.0,
11.0,-2.4977360896001493,2.0,
12.0,-2.4986416537600054,2.0,
13.0,-2.4991849922560005,2.0,
14.0,-2.4995109953536003,1.0,
15.0,-2.4997065972121595,1.0,
16.0,-2.4998239583272923,1.0,
17.0,-2.499894374996355,1.0,
18.0,-2.4999366249977104,2.0,
19.0,-2.49996197499811,1.0,
20.0,-2.499977184996313,1.0,
21.0,-2.4999863109854266,1.0,
22.0,-2.4999917865329313,1.0,
23.0,-2.4999950716534443,1.0,
24.0,-2.4999970418274344,1.0,
25.0,-2.4999982202968756,1.0,
26.0,-2.4632815519539886,0.0,
27.0,-2.330007212625055,2.0,
28.0,-2.307009401388666,2.0,
29.0,-2.3673125690326104,2.0,
30.0,-2.419231715256761,2.0,
31.0,-2.4514809898101517,2.0,
32.0,-2.4708860991644173,2.0,
33.0,-2.4825315618997563,2.0,
34.0,-2.489518933555518,2.0,
35.0,-2.4937113600075236,2.0,
36.0,-2.4962268160002488,2.0,
37.0,-2.4977360896000085,2.0,
38.0,-2.498641653760001,2.0,
39.0,-2.4991849922560005,1.0,
40.0,-2.4995109953536003,1.0,
41.0,-2.4997065972121595,1.0,
42.0,-2.499823958327292,2.0,
43.0,-2.499894374996355,1.0,
44.0,-2.4999366249977104,1.0,
45.0,-2.4999619749981097,2.0,
46.0,-2.499977184996313,1.0,
47.0,-2.4999863109854266,1.0,
48.0,-2.4999917865329313,1.0,
49.0,-2.4999950716534443,1.0,
50.0,-2.4999970418274344,1.0,
51.0,-2.4632815519539886,0.0,
52.0,-2.111283166765979,2.0,
53.0,-2.1534717246010113,2.0,
54.0,-2.286325654370458,2.0,
55.0,-2.371569547195018,2.0,
56.0,-2.4229337945107927,2.0,
57.0,-2.4537600146255407,2.0,
58.0,-2.472256000451525,2.0,
59.0,-2.4833536000136665,2.0,
60.0,-2.4900121600004077,2.0,
61.0,-2.4940072960000124,2.0,
62.0,-2.496404377600001,2.0,
63.0,-2.4978426265600007,1.0,
64.0,-2.4987055759360004,1.0,
65.0,-2.4992233455616004,1.0,
66.0,-2.4995340073369605,1.0,
67.0,-2.4997204044021766,1.0,
68.0,-2.4998322426413053,1.0,
69.0,-2.4998993455847787,1.0,
70.0,-2.4999396073508438,1.0,
71.0,-2.499963764410376,1.0,
72.0,-2.499978258645519,1.0,
73.0,-2.4999869551835276,1.0,
74.0,-2.4999921730901544,1.0,
75.0,-2.4999953037507696,1.0,
76.0,-2.4632815519539886,0.0,
77.0,-1.5963703064719066,2.0,
78.0,-1.934416910778722,2.0,
79.0,-2.160028767542067,2.0,
80.0,-2.2960007637400124,2.0,
81.0,-2.3776000202762813,2.0,
82.0,-2.426560000538309,2.0,
83.0,-2.455936000014292,2.0,
84.0,-2.4735616000003797,2.0,
85.0,-2.4841369600000105,2.0,
86.0,-2.490482176000001,2.0,
87.0,-2.4942893056000006,1.0,
88.0,-2.4965735833600005,2.0,
89.0,-2.4979441500160005,1.0,
90.0,-2.4987664900096007,1.0,
91.0,-2.4992598940057604,1.0,
92.0,-2.4995559364034565,1.0,
93.0,-2.499733561842074,1.0,
94.0,-2.4998401371052448,1.0,
95.0,-2.4999040822631464,1.0,
96.0,-2.499942449357885,1.0,
97.0,-2.499965469614713,1.0,
98.0,-2.4999792817687183,1.0,
99.0,-2.499987569060573,1.0,
100.0,-2.4999925414323956,1.0,
101.0,0.0,0.0,
102.0,-1.0,1.0,
103.0,-1.6,1.0,
104.0,-1.9600000000000002,1.0,
105.0,-2.176,1.0,
106.0,-2.3056,1.0,
107.0,-2.3833600000000006,1.0,
108.0,-2.4300160000000006,1.0,
109.0,-2.4580096000000005,1.0,
110.0,-2.4748057600000006,1.0,
111.0,-2.4848834560000004,1.0,
112.0,-2.4909300736000004,1.0,
113.0,-2.4945580441600006,1.0,
114.0,-2.4967348264960005,1.0,
115.0,-2.4980408958976006,1.0,
116.0,-2.4988245375385603,1.0,
117.0,-2.4992947225231363,1.0,
118.0,-2.499576833513882,1.0,
119.0,-2.4997461001083296,1.0,
120.0,-2.499847660064998,1.0,
121.0,-2.499908596038999,1.0,
122.0,-2.4999451576234,1.0,
123.0,-2.49996709457404,1.0,
124.0,-2.4999802567444243,1.0,
125.0,-2.4999881540466546,1.0,
