s,V,pi,pi_grafico
1.0,-4.194508600921203,0.0,
2.0,-3.993149324731225,2.0,
3.0,-3.775754242757506,2.0,
4.0,-3.9319416955300226,2.0,
5.0,-4.137455102946309,2.0,
6.0,-4.309410051245283,2.0,
7.0,-4.447495383762896,2.0,
8.0,-4.557994549912204,2.0,
9.0,-4.646395551051136,2.0,
10.0,-4.717116436541408,2.0,
11.0,-4.773693149032056,2.0,
12.0,-4.818954519216485,2.0,
13.0,-4.855163615372757,2.0,
14.0,-4.884130892298068,2.0,
15.0,-4.907304713837819,1.0,
16.0,-4.925843771066906,2.0,
17.0,-4.940675016836055,2.0,
18.0,-4.952540013378636,1.0,
19.0,-4.962032010242756,1.0,
20.0,-4.9696256058803465,2.0,
21.0,-4.975700473266546,2.0,
22.0,-4.980560323237605,2.0,
23.0,-4.984447997310278,1.0,
24.0,-4.9875572048301295,1.0,
25.0,-4.99004054662106,1.0,
26.0,-4.355594060380598,0.0,
27.0,-3.741448188789509,2.0,
28.0,-3.4696956255084226,2.0,
29.0,-3.6649274990799143,2.0,
30.0,-3.9218189185619337,2.0,
31.0,-4.1367625677048,2.0,
32.0,-4.3093692300102,2.0,
33.0,-4.447493187414652,2.0,
34.0,-4.557994438815783,2.0,
35.0,-4.646395545676898,2.0,
36.0,-4.71711643629008,2.0,
37.0,-4.773693149020611,2.0,
38.0,-4.818954519215975,2.0,
39.0,-4.855163615372735,2.0,
40.0,-4.884130892298067,2.0,
41.0,-4.907304713837817,2.0,
42.0,-4.925843771066906,1.0,
43.0,-4.940675016836055,1.0,
44.0,-4.952540013378636,1.0,
45.0,-4.962032010242756,1.0,
46.0,-4.969625605880346,2.0,
47.0,-4.975700473266546,1.0,
48.0,-4.980560323237605,1.0,
49.0,-4.984447997310278,1.0,
50.0,-4.9875572048301295,1.0,
51.0,-4.355594060380598,0.0,
52.0,-3.057921120040689,2.0,
53.0,-2.957883316158443,2.0,
54.0,-3.332378343752251,2.0,
55.0,-3.664070343832474,2.0,
56.0,-3.9311674845974327,2.0,
57.0,-4.144929938637334,2.0,
58.0,-4.315943773312911,2.0,
59.0,-4.45275501106895,2.0,
60.0,-4.562204008537926,2.0,
61.0,-4.649763206817269,2.0,
62.0,-4.719810565453283,2.0,
63.0,-4.775848452362606,2.0,
64.0,-4.820678761890083,2.0,
65.0,-4.8565430095120625,1.0,
66.0,-4.88523440760963,1.0,
67.0,-4.908187526087592,1.0,
68.0,-4.926550020869447,1.0,
69.0,-4.941240016692062,1.0,
70.0,-4.95299201333425,1.0,
71.0,-4.962393610560484,2.0,
72.0,-4.969914887863762,1.0,
73.0,-4.975931907124478,1.0,
74.0,-4.980745508747719,2.0,
75.0,-4.984596317570954,1.0,
76.0,-4.355594060380598,0.0,
77.0,-1.8937824116885378,2.0,
78.0,-2.419955268184738,2.0,
79.0,-2.932475419807762,2.0,
80.0,-3.345852308816286,2.0,
81.0,-3.6766771489376273,2.0,
82.0,-3.9413415467494386,2.0,
83.0,-4.153073231073342,2.0,
84.0,-4.322458584626544,2.0,
85.0,-4.457966867692718,2.0,
86.0,-4.566373494153861,2.0,
87.0,-4.6530987953230785,2.0,
88.0,-4.722479036258463,1.0,
89.0,-4.77798322900677,1.0,
90.0,-4.822386583205416,1.0,
91.0,-4.857909266564333,1.0,
92.0,-4.886327413251465,1.0,
93.0,-4.90906193060116,1.0,
94.0,-4.9272495444808655,1.0,
95.0,-4.941799635584314,1.0,
96.0,-4.953439708465176,1.0,
97.0,-4.962751766758491,1.0,
98.0,-4.970201413324901,1.0,
99.0,-4.9761611301685615,1.0,
100.0,-4.980928901186699,1.0,
101.0,0.0,0.0,
102.0,-1.0,1.0,
103.0,-1.8,1.0,
104.0,-2.4400000000000004,1.0,
105.0,-2.9520000000000004,1.0,
106.0,-3.3616000000000006,1.0,
107.0,-3.6892800000000006,1.0,
108.0,-3.9514240000000007,1.0,
109.0,-4.161139200000001,1.0,
110.0,-4.328911360000001,1.0,
111.0,-4.4631290880000005,1.0,
112.0,-4.570503270400001,1.0,
113.0,-4.656402616320001,1.0,
114.0,-4.725122093056001,1.0,
115.0,-4.780097674444801,1.0,
116.0,-4.824078139555841,1.0,
117.0,-4.859262511644673,1.0,
118.0,-4.887410009315738,1.0,
119.0,-4.90992800745259,1.0,
120.0,-4.927942405962073,1.0,
121.0,-4.942353924769659,1.0,
122.0,-4.953883139815727,1.0,
123.0,-4.9631065118525814,1.0,
124.0,-4.9704852094820655,1.0,
125.0,-4.976388167585652,1.0,
