s,V,pi,pi_grafico
1.0,-3.1157867484304536,0.0,
2.0,-3.0225529145826973,2.0,
3.0,-2.961147165926259,2.0,
4.0,-3.042162786694381,2.0,
5.0,-3.12706939804032,2.0,
6.0,-3.1888038806151897,2.0,
7.0,-3.232155359642816,2.0,
8.0,-3.26250841079615,2.0,
9.0,-3.2837558727120073,2.0,
10.0,-3.2986291102804652,2.0,
11.0,-3.309040377171463,2.0,
12.0,-3.3163282640190492,2.0,
13.0,-3.321429784813294,2.0,
14.0,-3.3250008493692897,2.0,
15.0,-3.327500594558426,2.0,
16.0,-3.3292504161905003,2.0,
17.0,-3.330475291331297,1.0,
18.0,-3.331332703921435,1.0,
19.0,-3.3319328926923433,1.0,
20.0,-3.33235302462433,1.0,
21.0,-3.3326471159767412,1.0,
22.0,-3.332852975237273,1.0,
23.0,-3.3329970555142903,1.0,
24.0,-3.333097820121199,1.0,
25.0,-3.3331679847485596,1.0,
26.0,-3.181050378963852,0.0,
27.0,-2.8893616595981184,2.0,
28.0,-2.8016388951164357,2.0,
29.0,-2.917375421227021,2.0,
30.0,-3.038670569850004,2.0,
31.0,-3.126862686704711,2.0,
32.0,-3.188793370927717,2.0,
33.0,-3.232154872566679,2.0,
34.0,-3.262508389588639,2.0,
35.0,-3.28375587182924,2.0,
36.0,-3.2986291102449474,2.0,
37.0,-3.3090403771700707,2.0,
38.0,-3.3163282640189955,2.0,
39.0,-3.321429784813292,2.0,
40.0,-3.3250008493692897,1.0,
41.0,-3.3275005945584257,2.0,
42.0,-3.3292504161905,2.0,
43.0,-3.330475291331297,1.0,
44.0,-3.331332703921435,1.0,
45.0,-3.3319328926923433,1.0,
46.0,-3.3323530246243296,2.0,
47.0,-3.3326471159767412,1.0,
48.0,-3.3328529752372726,2.0,
49.0,-3.3329970555142903,1.0,
50.0,-3.333097820121199,1.0,
51.0,-3.181050378963852,0.0,
52.0,-2.5009069434125015,2.0,
53.0,-2.5152939422189737,2.0,
54.0,-2.746586094576931,2.0,
55.0,-2.9219538222453436,2.0,
56.0,-3.0453403165467146,2.0,
57.0,-3.1317371489027472,2.0,
58.0,-3.19221596378699,2.0,
59.0,-3.234551173166822,2.0,
60.0,-3.264185821163397,2.0,
61.0,-3.2849300748124874,2.0,
62.0,-3.2994510523686746,2.0,
63.0,-3.3096157366580696,2.0,
64.0,-3.3167310156606487,1.0,
65.0,-3.3217117109624534,1.0,
66.0,-3.3251981976737146,1.0,
67.0,-3.3276387383715855,1.0,
68.0,-3.32934711686003,1.0,
69.0,-3.3305429818015795,1.0,
70.0,-3.331380087258672,1.0,
71.0,-3.3319660610677646,1.0,
72.0,-3.3323762426753682,1.0,
73.0,-3.3326633694869514,1.0,
74.0,-3.332864356605599,1.0,
75.0,-3.3330050390897363,1.0,
76.0,-3.181050378963852,0.0,
77.0,-1.7309339984214236,2.0,
78.0,-2.1644889085556853,2.0,
79.0,-2.5136550555993034,2.0,
80.0,-2.7595116458928493,2.0,
81.0,-2.9316566735188867,2.0,
82.0,-3.0521596248406704,2.0,
83.0,-3.136511735918398,2.0,
84.0,-3.1955582150965256,2.0,
85.0,-3.236890750566106,2.0,
86.0,-3.265823525396228,2.0,
87.0,-3.2860764677773577,2.0,
88.0,-3.3002535274441502,1.0,
89.0,-3.310177469210905,1.0,
90.0,-3.3171242284476334,1.0,
91.0,-3.3219869599133434,1.0,
92.0,-3.32539087193934,1.0,
93.0,-3.327773610357536,1.0,
94.0,-3.3294415272502667,1.0,
95.0,-3.330609069075135,1.0,
96.0,-3.3314263483522835,1.0,
97.0,-3.3319984438447343,1.0,
98.0,-3.3323989106801313,1.0,
99.0,-3.3326792374089944,2.0,
100.0,-3.332875465783716,1.0,
101.0,0.0,0.0,
102.0,-1.0,1.0,
103.0,-1.7,1.0,
104.0,-2.19,1.0,
105.0,-2.533,1.0,
106.0,-2.7731,1.0,
107.0,-2.9411699999999996,1.0,
108.0,-3.0588189999999997,1.0,
109.0,-3.1411732999999997,1.0,
110.0,-3.1988213099999996,1.0,
111.0,-3.2391749169999997,1.0,
112.0,-3.2674224418999995,1.0,
113.0,-3.2871957093299997,1.0,
114.0,-3.301036996531,1.0,
115.0,-3.3107258975716998,1.0,
116.0,-3.3175081283001897,1.0,
117.0,-3.3222556898101328,1.0,
118.0,-3.3255789828670927,1.0,
119.0,-3.327905288006965,1.0,
120.0,-3.329533701604875,1.0,
121.0,-3.3306735911234124,1.0,
122.0,-3.3314715137863886,1.0,
123.0,-3.3320300596504717,1.0,
124.0,-3.33242104175533,1.0,
125.0,-3.332694729228731,1.0,
