s,V,pi,pi_grafico
1.0,-8.772835625988478,0.0,
2.0,-7.772839756129658,0.0,
3.0,-6.772842668052589,2.0,
4.0,-7.08719568881086,2.0,
5.0,-8.007574688910234,2.0,
6.0,-9.000572378318722,2.0,
7.0,-10.000039654881135,2.0,
8.0,-11.000002589138177,2.0,
9.0,-12.00000016191872,2.0,
10.0,-13.000000009799784,2.0,
11.0,-14.000000000578037,2.0,
12.0,-15.000000000033394,2.0,
13.0,-16.000000000001897,2.0,
14.0,-17.000000000000107,2.0,
15.0,-18.000000000000007,2.0,
16.0,-19.0,2.0,
17.0,-20.0,1.0,
18.0,-20.999999999999993,1.0,
19.0,-21.999999999999968,1.0,
20.0,-22.999999999999826,1.0,
21.0,-23.999999999999048,1.0,
22.0,-24.999999999994838,1.0,
23.0,-25.99999999997221,1.0,
24.0,-26.999999999851262,1.0,
25.0,-27.99999999920925,1.0,
26.0,-9.772829693841123,0.0,
27.0,-7.478721715243774,0.0,
28.0,-5.772844738010022,2.0,
29.0,-6.087196056273217,2.0,
30.0,-7.007574738679577,2.0,
31.0,-8.000572384236083,2.0,
32.0,-9.000039655522736,2.0,
33.0,-10.000002589202559,2.0,
34.0,-11.00000016192483,2.0,
35.0,-12.000000009800349,2.0,
36.0,-13.00000000057809,2.0,
37.0,-14.000000000033399,2.0,
38.0,-15.000000000001895,2.0,
39.0,-16.000000000000107,2.0,
40.0,-17.000000000000007,2.0,
41.0,-18.0,2.0,
42.0,-19.0,1.0,
43.0,-20.0,1.0,
44.0,-20.999999999999993,1.0,
45.0,-21.999999999999968,1.0,
46.0,-22.999999999999826,1.0,
47.0,-23.999999999999048,1.0,
48.0,-24.999999999994838,1.0,
49.0,-25.99999999997221,1.0,
50.0,-26.999999999851262,1.0,
51.0,-9.772829693841123,0.0,
52.0,-5.359434848028621,2.0,
53.0,-4.2070821972191155,2.0,
54.0,-5.014371886211453,2.0,
55.0,-6.000899173991119,2.0,
56.0,-7.000053046060744,2.0,
57.0,-8.000003013041697,2.0,
58.0,-9.000000166668793,2.0,
59.0,-10.00000000904079,2.0,
60.0,-11.000000000483084,2.0,
61.0,-12.000000000025507,2.0,
62.0,-13.000000000001332,2.0,
63.0,-14.000000000000068,2.0,
64.0,-15.000000000000004,2.0,
65.0,-16.0,2.0,
66.0,-17.0,1.0,
67.0,-18.0,1.0,
68.0,-19.0,1.0,
69.0,-20.0,1.0,
70.0,-21.0,1.0,
71.0,-21.999999999999993,2.0,
72.0,-22.99999999999998,1.0,
73.0,-23.999999999999865,1.0,
74.0,-24.99999999999924,1.0,
75.0,-25.999999999995694,1.0,
76.0,-9.772829693841123,0.0,
77.0,-2.4177532644961524,2.0,
78.0,-3.0198929733229316,2.0,
79.0,-4.000947281594027,2.0,
80.0,-5.0000451084414355,2.0,
81.0,-6.000002148005894,2.0,
82.0,-7.0000001022848615,2.0,
83.0,-8.000000004870623,2.0,
84.0,-9.000000000231928,2.0,
85.0,-10.000000000011044,2.0,
86.0,-11.000000000000526,2.0,
87.0,-12.000000000000025,2.0,
88.0,-13.0,2.0,
89.0,-14.0,1.0,
90.0,-15.0,1.0,
91.0,-16.0,1.0,
92.0,-17.0,1.0,
93.0,-18.0,1.0,
94.0,-19.0,1.0,
95.0,-20.0,1.0,
96.0,-21.0,1.0,
97.0,-22.0,1.0,
98.0,-23.0,1.0,
99.0,-23.99999999999999,1.0,
100.0,-24.99999999999994,1.0,
101.0,0.0,0.0,
102.0,-1.0,1.0,
103.0,-2.0,1.0,
104.0,-3.0,1.0,
105.0,-4.0,1.0,
106.0,-5.0,1.0,
107.0,-6.0,1.0,
108.0,-7.0,1.0,
109.0,-8.0,1.0,
110.0,-9.0,1.0,
111.0,-10.0,1.0,
112.0,-11.0,1.0,
113.0,-12.0,1.0,
114.0,-13.0,1.0,
115.0,-14.0,1.0,
116.0,-15.0,1.0,
117.0,-16.0,1.0,
118.0,-17.0,1.0,
119.0,-18.0,1.0,
120.0,-19.0,1.0,
121.0,-20.0,1.0,
122.0,-21.0,1.0,
123.0,-22.0,1.0,
124.0,-23.0,1.0,
125.0,-24.0,1.0,
